left_leg,right_leg,results
161.2242773,125.5604192,lower your hep
89.08695688,176.9352757,avoid stretching left leg
66.45707525,89.70579997,you are almost at the right position
69.31710209,31.85428723,need to practise
76.04318889,74.46411836,you are almost at the right position
81.10487932,94.34808227,good match for the pose
88.24644279,75.45804732,move your right ankle a bit
81.23064625,130.5318603,avoid stretching right leg
74.74292979,83.83892219,move your left ankle a bit
86.13586192,76.77116802,move your right ankle a bit
84.00735245,73.36597078,move your right ankle a bit
55.17682287,103.4659394,lower your hep and left leg is not proper
149.5499076,93.60948352,avoid stretching left leg
112.5596458,142.3424732,lower your hep
0.00000,0.000000,you might not intersted
180.00000,180.00000,you might not intersted